PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS32130074,18/02/2009,HOLT PARK CP - HOLT PARK                                    ,87 IN DISABLED BAY WITHOUT BADGE,70,28/03/2019,0,0,
LS52111028,21/02/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS33115203,02/03/2009,QUEENSWAY CP - MORLEY                                       ,87 IN DISABLED BAY WITHOUT BADGE,70,28/03/2019,0,0,
LS5906927A,06/03/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS69102338,07/03/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS27126384,07/03/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS27126409,07/03/2009,QUARRY HILL B CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,28/03/2019,0,0,
LS36100585,17/03/2009,QUARRY HILL D CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS13110910,21/03/2009,QUARRY HILL B CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS31095149,25/03/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS40112952,26/03/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS27128878,27/03/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS47111583,28/03/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS76002049,30/03/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS65106133,31/03/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS13111800,01/04/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS38117669,01/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS65106428,02/04/2009,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS46106464,02/04/2009,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS46106533,03/04/2009,QUARRY HILL C CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS4812201A,03/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS50131159,03/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS33118904,04/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS46106919,05/04/2009,THE MARKETS CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,28/03/2019,0,0,
LS46106996,05/04/2009,THE MARKETS CP - CITY,92 PARKED CAUSING AN OBSTRUCTION                  ,70,28/03/2019,0,0,
LS5907133A,06/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS69104537,06/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS59071442,07/04/2009,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS89617807,07/04/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS89617829,07/04/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS8961783A,07/04/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS13113045,08/04/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS26102722,08/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS2812964A,08/04/2009,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS71099928,08/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS13112905,08/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS5811772A,11/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS40114969,11/04/2009,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS55105134,14/04/2009,QUARRY HILL C CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS59071908,14/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS36102627,15/04/2009,HOLT PARK CP - HOLT PARK                                    ,87 IN DISABLED BAY WITHOUT BADGE,70,28/03/2019,0,0,
LS59072059,15/04/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS45112847,16/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS2610350A,17/04/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS45113249,20/04/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS50132617,20/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS52117647,21/04/2009,BEECH HILL CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS55105779,22/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS25138666,23/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS50132854,23/04/2009,COMMERCIAL STREET CP - MORLEY                               ,87 IN DISABLED BAY WITHOUT BADGE,70,28/03/2019,0,0,
LS50132901,24/04/2009,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS2813065A,24/04/2009,QUEENSWAY CP - MORLEY                                       ,86 BEYOND THE BAY MARKINGS                        ,50,28/03/2019,0,0,
LS62100378,24/04/2009,CLAYPIT LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS64107163,24/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS38120153,26/04/2009,THE MARKETS CP - CITY,92 PARKED CAUSING AN OBSTRUCTION                  ,70,28/03/2019,0,0,
LS62100695,28/04/2009,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS62100833,28/04/2009,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS38120550,29/04/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS75005391,30/04/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS21121854,30/04/2009,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS19102336,01/05/2009,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS25139385,01/05/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS46109779,01/05/2009,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS44109596,02/05/2009,QUARRY HILL E CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS50133427,02/05/2009,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS7007598A,02/05/2009,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS70075957,02/05/2009,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS23110961,04/05/2009,THE MARKETS CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,28/03/2019,0,0,
LS27132208,05/05/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS23111206,06/05/2009,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS05011957,15/03/2017,QUARRY HILL C CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,21/02/2019,83,0,
LS06713086,05/06/2017,QUARRY HILL D CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,17/01/2019,83,0,
LS06217459,21/06/2017,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,17/01/2019,83,0,
LS11517531,29/08/2017,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,07/02/2019,83,0,
LS05218966,12/10/2017,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,01/01/2019,25,0,
LS05218966,12/10/2017,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2019,25,0,
LS05616390,14/10/2017,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/02/2019,83,0,
LS0662647A,04/12/2017,QUARRY HILL C CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/03/2019,83,0,
LS09919791,18/01/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/01/2019,83,0,
LS09919791,18/01/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,21/01/2019,83,0,
LS09919791,18/01/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/03/2019,83,0,
LS06826162,08/02/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/02/2019,83,0,
LS06826162,08/02/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,09/01/2019,83,0,
LS07528170,09/02/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/03/2019,83,0,
LS06630375,21/02/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/01/2019,60,0,
LS12132135,24/02/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/01/2019,83,0,
LS14327929,03/03/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/02/2019,83,0,
LS14330399,27/03/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/02/2019,83,0,
LS07029851,28/03/2018,ROBIN LANE CP - PUDSEY                                      ,86 BEYOND THE BAY MARKINGS                        ,50,14/02/2019,83,0,
LS07413292,28/03/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/01/2019,83,0,
LS07531878,30/03/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,27/03/2019,25,0,
LS07531878,30/03/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,29/03/2019,25,0,
LS07531947,30/03/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS0173972A,09/04/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/02/2019,83,0,
LS08632338,10/04/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,17/01/2019,0,0,
LS08632338,10/04/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,31/01/2019,0,0,
LS0574268A,16/04/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/02/2019,83,0,
LS0623544A,20/04/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,22/02/2019,83,0,
LS08518627,29/04/2018,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,21/01/2019,88,-5,
LS08518627,29/04/2018,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,31/01/2019,88,-5,
LS09825439,09/05/2018,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,25/01/2019,75,0,
LS09825439,09/05/2018,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,21/01/2019,75,0,
LS08634322,11/05/2018,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/01/2019,0,0,
LS08634322,11/05/2018,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/01/2019,0,0,
LS15301931,14/05/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/01/2019,83,0,
LS06832449,15/05/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,22/02/2019,83,0,
LS01145496,15/05/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/02/2019,83,0,
LS11747338,17/05/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/01/2019,83,0,
LS05135494,18/05/2018,CROSSLEY STREET CP - WETHERBY                               ,90 RE-PARKED WITHIN SPECIFIED TIME,50,07/02/2019,83,0,
LS08032228,22/05/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/02/2019,83,0,
LS05135927,29/05/2018,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,21/01/2019,0,0,
LS01146841,29/05/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/02/2019,83,0,
LS05135927,29/05/2018,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,25/01/2019,0,0,
LS01742553,30/05/2018,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,18/01/2019,83,0,
LS09922446,31/05/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/01/2019,83,0,
LS06237922,04/06/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/02/2019,83,0,
LS09127862,04/06/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,21/01/2019,0,0,
LS09127862,04/06/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/01/2019,0,0,
LS09826023,04/06/2018,BECKETT ST LOWER CP - CITY,73 PARKED WITHOUT PAYMENT,50,28/03/2019,83,0,
LS05136500,06/06/2018,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,25/01/2019,0,0,
LS0870568A,06/06/2018,BECKETT ST UPPER CP - CITY,73 PARKED WITHOUT PAYMENT,50,08/02/2019,83,0,
LS05136500,06/06/2018,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,21/01/2019,0,0,
LS0663597A,11/06/2018,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,83,0,
LS09923314,13/06/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/01/2019,83,0,
LS09826602,14/06/2018,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,08/01/2019,83,0,
LS01147731,20/06/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,23/01/2019,83,0,
LS03833671,21/06/2018,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/03/2019,241,-158,
LS03833671,21/06/2018,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/03/2019,241,-158,
LS05028654,22/06/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,18/03/2019,83,0,
LS08434786,22/06/2018,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/02/2019,83,0,
LS04952982,24/06/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/01/2019,83,0,
LS14431614,24/06/2018,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,09/01/2019,83,0,
LS11628292,26/06/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/01/2019,83,0,
LS1244105A,26/06/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/03/2019,25,0,
LS1244105A,26/06/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/03/2019,25,0,
LS05029464,28/06/2018,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/01/2019,83,0,
LS06835571,29/06/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,22/02/2019,83,0,
LS01148610,02/07/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/01/2019,83,0,
LS1530566A,02/07/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,18/01/2019,50,0,
LS01744209,02/07/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/03/2019,83,0,
LS14524748,02/07/2018,COURTHOUSE STREET CP - OTLEY,86 BEYOND THE BAY MARKINGS                        ,50,10/01/2019,0,0,
LS06357323,04/07/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/01/2019,0,0,
LS06357323,04/07/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/02/2019,0,0,
LS06835990,04/07/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,22/01/2019,75,0,
LS14340224,04/07/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/01/2019,0,0,
LS15007275,04/07/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/03/2019,0,0,
LS15007275,04/07/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/03/2019,0,0,
LS06835990,04/07/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,19/01/2019,75,0,
LS14431997,04/07/2018,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,18/01/2019,83,0,
LS09924124,05/07/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,19/01/2019,75,0,
LS15306152,07/07/2018,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/03/2019,83,0,
LS14218934,12/07/2018,BECKETT ST LOWER CP - CITY,73 PARKED WITHOUT PAYMENT,50,08/03/2019,83,0,
LS12228074,13/07/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,18/01/2019,83,0,
LS05139815,26/07/2018,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,08/02/2019,83,0,
LS07942420,29/07/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,83,0,
LS01745540,31/07/2018,BEECH HILL CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,11/03/2019,0,0,
LS01745540,31/07/2018,BEECH HILL CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/03/2019,0,0,
LS06639121,31/07/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/02/2019,83,0,
LS03543605,01/08/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,21/01/2019,0,83,
LS03543605,01/08/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,20/02/2019,0,83,
LS03543605,01/08/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/03/2019,0,83,
LS06639289,04/08/2018,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/01/2019,83,0,
LS07942657,05/08/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/01/2019,0,0,
LS08709545,06/08/2018,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,83,0,
LS12141544,06/08/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/01/2019,83,0,
LS12141544,06/08/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,21/02/2019,83,0,
LS14926468,09/08/2018,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/03/2019,83,0,
LS05926977,09/08/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/01/2019,0,0,
LS14926457,09/08/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,11/01/2019,0,0,
LS07755059,11/08/2018,FINK HILL CP - HORSFORTH                                    ,86 BEYOND THE BAY MARKINGS                        ,50,10/01/2019,83,0,
LS07755059,11/08/2018,FINK HILL CP - HORSFORTH                                    ,86 BEYOND THE BAY MARKINGS                        ,50,05/02/2019,83,0,
LS05032695,15/08/2018,CASTLE ST CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,08/03/2019,83,0,
LS06639835,16/08/2018,QUARRY HILL E CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/01/2019,83,0,
LS1153169A,16/08/2018,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/02/2019,83,0,
LS12443452,17/08/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/03/2019,83,0,
LS05749361,19/08/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/01/2019,83,0,
LS05749361,19/08/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/02/2019,83,0,
LS14220889,19/08/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,17/01/2019,75,0,
LS15309434,20/08/2018,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/01/2019,0,83,
LS14343732,21/08/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/01/2019,83,0,
LS14343732,21/08/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,23/01/2019,83,0,
LS14343732,21/08/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/03/2019,83,0,
LS06421149,23/08/2018,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,02/01/2019,83,0,
